Property_ID,Listing_Date,Area,Community,Property_Type,Developer,Bedrooms,Bathrooms,Size_SqFt,Floor_No,Parking_Spaces,Furnished,Handover_Status,Property_Age,Sale_Price,Annual_Rent,Service_Charges,Distance_To_Metro,Distance_To_Downtown,Nearby_Schools,Nearby_Malls,Latitude,Longitude,Agent_Name,Listing_Status,Transaction_Type,Completion_Status,Price_Per_SqFt,Rent_Per_SqFt,Rental_Yield,Listing_Month,Listing_Year,Luxury_Flag,Premium_Location_Flag,Accessibility_Score,Neighborhood_Convenience_Score,Investment_Grade
PROP_00029,2024-09-17,Business Bay,Bay Square,Apartment,Ellington,2,2.0,2065,4.0,1.0,Yes,Off-Plan,0,4437828.77,220113.85,63868.45,2.52,6.64,4,4,25.178463,55.261905,Omar,Active,Sale,Upcoming,2149.069622276029,106.59266343825666,4.9599446352681165,9,2024,1,0,6.876,4.0,Medium
PROP_00030,2023-09-13,Downtown Dubai,Opera District,Apartment,Azizi,1,2.0,687,29.0,1.0,No,Ready,14,1910081.42,82647.39,23653.48,1.53,1.0,1,5,25.177836,55.265926,Ahmed,Active,Sale,Completed,2780.3222998544393,120.30187772925764,4.326904033232259,9,2023,0,1,8.135,3.4,High
PROP_00031,2024-10-14,Downtown Dubai,Opera District,Apartment,Meraas,4,4.0,2282,61.0,2.0,No,Off-Plan,0,5870148.6,282681.44,53801.36,0.77,1.0,5,2,25.206972,55.27482,Maryam,Sold,Sale,Upcoming,2572.3701139351447,123.87442594215601,4.815575537559646,10,2024,1,1,7.915000000000001,3.2,Medium
PROP_00032,2024-12-11,Arjan,Miraclz,Villa,Azizi,5,6.0,2016,0.0,1.0,No,Ready,4,2723954.94,136478.3,70263.37,4.57,21.73,4,4,25.063272,55.250066,Ali,Rented,Sale,Completed,1351.168125,67.69756944444444,5.010299472868667,12,2024,1,0,4.342,4.0,Low
PROP_00033,2023-12-27,Business Bay,Bay Square,Apartment,Danube,4,5.0,1710,3.0,2.0,No,Ready,12,3403425.56,179587.39,56540.47,0.94,5.95,8,1,25.170852,55.266335,Omar,Sold,Sale,Completed,1990.3073450292397,105.02186549707604,5.276665724987974,12,2023,1,0,7.135000000000001,3.8000000000000003,Medium
PROP_00034,2023-05-11,Arjan,Vincitore,Studio,Danube,0,1.0,477,44.0,3.0,Yes,Ready,12,346508.19,18000.0,8615.83,6.88,23.71,3,4,25.066351,55.234198,Ahmed,Sold,Sale,Completed,726.4322641509434,37.735849056603776,5.194682411402743,5,2023,0,0,2.989,3.6,Medium
PROP_00035,2023-12-01,Silicon Oasis,Axis Residences,Apartment,Danube,2,2.0,2336,34.0,2.0,Yes,Ready,10,2506324.05,114794.05,27523.38,6.04,26.11,4,4,25.132662,55.36941,Hassan,Sold,Sale,Completed,1072.9126926369863,49.141288527397265,4.580175895451348,12,2023,1,0,3.1690000000000005,4.0,Medium
PROP_00036,2023-09-11,Al Furjan,Azizi Tulip,Apartment,Danube,3,3.0,2150,9.0,3.0,No,Off-Plan,0,2521101.82,136361.72,34412.41,2.96,27.76,1,1,25.02067,55.146953,Ahmed,Sold,Sale,Upcoming,1172.6054976744185,63.42405581395349,5.408814468270862,9,2023,1,0,3.944,1.0,Medium
PROP_00037,2023-04-21,JVC,District 10,Townhouse,Azizi,5,6.0,1635,2.0,1.0,Yes,Ready,3,2468427.73,118198.76,48320.74,5.79,20.66,3,3,25.057762,55.199474,Omar,Active,Sale,Completed,1509.74173088685,72.29281957186544,4.788422952937739,4,2023,0,0,3.639,3.0,Medium
PROP_00038,2024-06-29,Silicon Oasis,Silicon Gates,Penthouse,Danube,3,5.0,7429,16.0,2.0,No,Off-Plan,0,11177601.96,516998.56,147382.46,5.04,21.0,1,3,25.123498,55.380409,Omar,Active,Sale,Upcoming,1504.5903836317136,69.59194508009153,4.6253083787571185,6,2024,1,0,3.98,2.1999999999999997,Low
PROP_00039,2024-07-05,Palm Jumeirah,Marina Residences,Apartment,Ellington,4,4.0,954,56.0,1.0,Yes,Off-Plan,0,3477079.88,145573.06,8594.01,7.37,17.06,5,5,25.101623,55.131847,Zain,Sold,Sale,Upcoming,3644.7378197064986,152.59230607966458,4.186646986091099,7,2024,1,1,3.609,5.0,Medium
PROP_00040,2023-11-29,Dubai Hills,Sidra,Apartment,Sobha,2,3.0,654,49.0,1.0,No,Off-Plan,0,1194689.65,53097.68,13306.39,3.69,16.36,1,4,25.118638,55.232608,Hassan,Active,Sale,Upcoming,1826.7425840978592,81.18911314984709,4.444474763801629,11,2023,0,0,5.319,2.8,Medium
PROP_00041,2025-02-15,Business Bay,DAMAC Towers,Apartment,Sobha,1,1.0,1585,11.0,1.0,No,Ready,13,3598574.8,158969.51,43753.08,1.35,5.03,8,5,25.179714,55.266355,Ali,Rented,Rent,Completed,2270.3941955835962,100.29622082018928,4.417568588542331,2,2025,1,0,7.822000000000001,6.2,Medium
PROP_00042,2025-02-02,JVC,District 15,Villa,Meraas,4,5.0,3369,2.0,1.0,No,Off-Plan,0,5312488.8,241951.38,29257.98,4.38,14.66,6,4,25.052658,55.207822,Maryam,Active,Sale,Upcoming,1576.874087266251,71.81697239536955,4.554388519369679,2,2025,1,0,5.144,4.800000000000001,Medium
PROP_00043,2025-01-26,International City,England Cluster,Apartment,Meraas,3,3.0,1451,69.0,3.0,No,Ready,5,1220592.08,47091.52,21002.15,7.46,28.37,4,2,25.166268,55.424555,Omar,Active,Sale,Completed,841.2074982770504,32.45452791178497,3.8580882812216832,1,2025,0,0,1.8329999999999997,2.8,Low
PROP_00044,2024-07-20,Dubai Hills,Sidra,Townhouse,Sobha,4,4.0,1753,1.0,1.0,Yes,Off-Plan,0,4221177.15,171892.71,30872.54,3.81,14.07,1,1,25.101806,55.230674,Fatima,Sold,Sale,Upcoming,2407.9732743867658,98.05630918425555,4.072151058621172,7,2024,1,0,4.888,1.0,Medium
PROP_00045,2023-04-27,Arjan,Miraclz,Penthouse,Meraas,4,6.0,7146,24.0,1.0,Yes,Off-Plan,0,11404808.77,605685.2,123984.65,5.6,26.23,5,4,25.065246,55.27687,Hassan,Rented,Sale,Upcoming,1595.9710005597537,84.75863420095158,5.310787863390014,4,2023,1,0,3.377,4.4,Low
PROP_00046,2024-03-29,Downtown Dubai,Opera District,Villa,Emaar,4,4.0,6611,3.0,2.0,Yes,Ready,7,25534633.43,1000671.77,162815.59,1.08,2.17,7,4,25.203278,55.284725,Sara,Rented,Rent,Completed,3862.446442293148,151.36466041446076,3.918880499080656,3,2024,1,1,8.043000000000001,5.2,Medium
PROP_00047,2023-06-27,Arjan,Miraclz,Penthouse,Sobha,5,6.0,6246,34.0,3.0,Yes,Ready,2,11074580.19,533848.12,158453.41,4.44,26.27,3,2,25.065883,55.24781,Omar,Rented,Sale,Completed,1773.0675936599423,85.47040025616394,4.820481777558017,6,2023,1,0,3.553,2.4000000000000004,Low
PROP_00048,2024-11-08,International City,China Cluster,Apartment,Danube,3,4.0,1498,59.0,1.0,No,Ready,7,997818.7,47564.09,38505.36,8.24,26.75,5,5,25.151618,55.399753,Omar,Sold,Sale,Completed,666.100600801068,31.751728971962613,4.766806835750823,11,2024,0,0,2.205,5.0,Medium
PROP_00049,2024-12-17,JVC,District 12,Apartment,Azizi,3,4.0,1869,57.0,1.0,Yes,Off-Plan,0,2310899.92,119089.07,49917.33,4.85,19.06,8,3,25.050941,55.211507,Fatima,Active,Sale,Upcoming,1236.436554307116,63.7180684858213,5.1533633702319745,12,2024,0,0,4.269,5.0,Medium
PROP_00050,2023-02-11,Palm Jumeirah,Golden Mile,Villa,Meraas,5,5.0,4504,0.0,1.0,No,Ready,0,20974754.59,771451.42,105168.61,7.79,18.99,5,5,25.108722,55.133523,Zain,Active,Rent,Completed,4656.917093694494,171.28139875666076,3.6779997434048646,2,2023,1,1,3.2060000000000004,5.0,Low
PROP_00051,2023-06-14,Business Bay,DAMAC Towers,Villa,Meraas,3,4.0,4143,20.0,2.0,No,Ready,10,9954459.99,495401.42,71266.62,0.65,8.11,6,1,25.188616,55.270921,Hassan,Rented,Sale,Completed,2402.7178349022447,119.57552980931692,4.976677996573072,6,2023,1,0,7.064,3.0000000000000004,Medium
PROP_00052,2023-01-02,Al Furjan,Azizi Tulip,Townhouse,Sobha,4,5.0,3503,2.0,1.0,No,Off-Plan,0,4780006.71,243312.18,64874.47,3.73,26.86,7,5,25.023887,55.15484,Sara,Rented,Sale,Upcoming,1364.546591493006,69.45823008849557,5.090205825255002,1,2023,1,0,4.449,5.800000000000001,Low
PROP_00053,2023-01-30,International City,England Cluster,Apartment,Azizi,2,3.0,1367,17.0,1.0,No,Ready,14,1019352.52,46381.91,35914.9,4.31,25.32,8,1,25.185432,55.404574,Ahmed,Sold,Sale,Completed,745.6858229700073,33.92970738844185,4.550134432394399,1,2023,0,0,3.5130000000000003,3.8000000000000003,Medium
PROP_00054,2024-05-09,Silicon Oasis,Silicon Gates,Townhouse,Sobha,5,5.0,2665,1.0,2.0,Yes,Ready,9,3476503.14,152265.3,91422.03,6.26,24.5,5,4,25.13089,55.383961,Sara,Active,Sale,Completed,1304.5039924953096,57.135196998123824,4.379840715460995,5,2024,1,0,3.2200000000000006,4.4,Low
PROP_00055,2025-01-13,Dubai Hills,Park Heights,Villa,Nakheel,3,4.0,5324,3.0,1.0,No,Ready,8,12595759.33,517110.43,163121.93,3.69,12.12,1,3,25.099663,55.240444,Fatima,Rented,Sale,Completed,2365.845103305785,97.12817993989482,4.1054327607575845,1,2025,1,0,5.543000000000001,2.1999999999999997,Low
PROP_00056,2025-03-05,Arjan,Miraclz,Villa,Meraas,6,7.0,4386,1.0,3.0,Yes,Ready,7,6117232.96,307382.62,103927.35,6.23,19.65,7,2,25.042567,55.255695,Maryam,Sold,Sale,Completed,1394.7179571363429,70.08267669858641,5.024863725314132,3,2025,1,0,3.32,4.0,Low
PROP_00057,2023-04-13,Palm Jumeirah,Shoreline,Apartment,Meraas,4,4.0,1925,17.0,2.0,No,Ready,10,7132427.46,277604.57,19739.95,7.68,18.62,2,4,25.110801,55.13881,Fatima,Rented,Rent,Completed,3705.157122077922,144.21016623376624,3.892147120413896,4,2023,1,1,3.098,3.2,Medium
PROP_00058,2024-10-03,International City,England Cluster,Apartment,Nakheel,3,4.0,1302,11.0,1.0,No,Off-Plan,0,920704.11,40661.81,24660.47,8.27,25.99,7,3,25.170476,55.41336,Ali,Active,Sale,Upcoming,707.1460138248848,31.230268817204298,4.416381936211841,10,2024,0,0,1.8660000000000005,4.6,Medium
PROP_00059,2023-02-17,Dubai Hills,Mulberry,Apartment,DAMAC,4,4.0,1674,13.0,2.0,Yes,Ready,5,3220942.63,151208.03,44173.62,2.86,13.92,5,1,25.101548,55.214357,Sara,Sold,Rent,Completed,1924.0995400238949,90.32737753882915,4.6945272663859905,2,2023,1,0,5.378000000000001,2.6,Medium
PROP_00060,2024-08-20,Al Furjan,Masakin,Apartment,Ellington,2,2.0,707,11.0,2.0,No,Ready,12,910442.47,42450.42,5888.02,4.26,27.29,4,4,25.032736,55.145544,Fatima,Rented,Sale,Completed,1287.7545544554455,60.04302687411598,4.662614212186301,8,2024,0,0,3.9410000000000007,4.0,Medium
PROP_00061,2023-11-03,Business Bay,Executive Towers,Villa,Sobha,5,7.0,3256,1.0,1.0,No,Ready,14,8155340.35,393377.0,45108.12,2.22,3.21,6,5,25.188095,55.262044,Hassan,Active,Rent,Completed,2504.7114097051594,120.81603194103194,4.823550987666628,11,2023,1,0,7.568999999999999,5.4,Medium
PROP_00062,2023-01-09,Palm Jumeirah,Marina Residences,Apartment,Sobha,3,4.0,1022,38.0,1.0,Yes,Off-Plan,0,3282035.72,155020.67,15830.06,6.37,17.53,7,3,25.122726,55.120899,Maryam,Sold,Sale,Upcoming,3211.3852446183955,151.68363013698632,4.723308434924651,1,2023,1,1,3.662,4.6,Medium
PROP_00063,2023-09-14,Silicon Oasis,Axis Residences,Studio,Emaar,0,2.0,569,20.0,1.0,No,Off-Plan,0,473258.83,18000.0,10087.98,4.67,23.35,4,5,25.107074,55.372537,Omar,Sold,Rent,Upcoming,831.7378383128296,31.63444639718805,3.8034155643752063,9,2023,0,0,4.33,4.6,Low
PROP_00064,2023-07-25,Business Bay,Bay Square,Apartment,Emaar,1,2.0,2220,42.0,3.0,No,Off-Plan,0,5266344.59,224200.0,67062.88,0.2,4.19,7,2,25.197794,55.266108,Fatima,Active,Sale,Upcoming,2372.227292792793,100.990990990991,4.257222370631087,7,2023,1,0,7.881,4.0,Medium
PROP_00065,2023-05-25,Business Bay,Bay Square,Studio,Ellington,0,1.0,573,44.0,1.0,No,Off-Plan,0,1179204.92,50883.34,19827.36,0.46,7.74,8,1,25.18225,55.263859,Hassan,Sold,Rent,Upcoming,2057.9492495636996,88.80164048865619,4.3150549270096334,5,2023,0,0,7.196,3.8000000000000003,Medium
PROP_00066,2024-11-22,JVC,District 15,Townhouse,Danube,5,6.0,3752,2.0,2.0,No,Ready,12,4848842.53,252762.35,72038.87,4.91,18.22,6,1,25.058594,55.214023,Sara,Sold,Sale,Completed,1292.3354291044777,67.36736407249467,5.212838908175473,11,2024,1,0,3.923,3.0000000000000004,Low
PROP_00067,2023-04-29,JVC,District 12,Apartment,Ellington,4,4.0,2318,18.0,1.0,Yes,Ready,1,3099633.88,149549.85,80919.51,5.25,21.03,5,4,25.040009,55.197314,Ali,Rented,Rent,Completed,1337.201846419327,64.51676013805005,4.824758529223458,4,2023,1,0,4.072,4.4,Low
PROP_00068,2024-02-22,Downtown Dubai,Burj Views,Studio,Nakheel,0,2.0,637,20.0,2.0,No,Ready,3,1761983.27,68496.0,5902.57,0.2,3.07,8,5,25.192021,55.283328,Maryam,Rented,Rent,Completed,2766.064788069074,107.52904238618524,3.8874375918450124,2,2024,0,1,8.593,6.2,Medium
PROP_00069,2024-04-10,Arjan,Lincoln Park,Townhouse,Azizi,4,5.0,3584,0.0,2.0,No,Ready,8,3976108.06,217632.69,82078.92,6.13,24.05,4,1,25.057309,55.25989,Sara,Active,Rent,Completed,1109.4051506696428,60.72340680803571,5.473510445790048,4,2024,1,0,2.73,2.2,Low
PROP_00070,2024-09-02,Downtown Dubai,The Residences,Apartment,Emaar,1,1.0,1084,28.0,1.0,Yes,Off-Plan,0,3199840.99,138941.06,35105.43,0.96,3.76,6,2,25.213306,55.28714,Omar,Active,Rent,Upcoming,2951.882832103321,128.17440959409595,4.342123887849814,9,2024,1,1,7.544,3.6000000000000005,High
PROP_00071,2023-06-28,Dubai Marina,Princess Tower,Studio,Nakheel,0,1.0,598,2.0,1.0,Yes,Ready,7,1317715.67,50795.41,13082.87,2.27,19.03,6,1,25.083307,55.139853,Ahmed,Active,Sale,Completed,2203.5379096989964,84.94215719063546,3.8548080710006283,6,2023,0,1,5.162,3.0000000000000004,Medium
PROP_00072,2024-10-20,Arjan,Lincoln Park,Apartment,Danube,1,2.0,2181,65.0,1.0,Yes,Ready,1,2541411.32,120498.65,21348.44,6.1,23.59,5,4,25.048519,55.238977,Zain,Sold,Sale,Completed,1165.2504906006418,55.2492663915635,4.7414068337430715,10,2024,1,0,3.391,4.4,Medium
PROP_00073,2023-10-09,Dubai Marina,Marina Gate,Penthouse,Danube,3,4.0,6638,42.0,2.0,No,Ready,4,21233323.76,921212.36,96144.34,0.45,20.73,2,2,25.069408,55.139373,Hassan,Sold,Rent,Completed,3198.7532027719194,138.77860198855078,4.338521704903349,10,2023,1,1,6.102,2.0,Medium
PROP_00074,2024-04-07,Silicon Oasis,Axis Residences,Villa,Ellington,3,5.0,6188,0.0,3.0,No,Off-Plan,0,7187613.73,350627.12,38625.785,4.91,25.91,4,4,25.116968,55.389453,Maryam,Rented,Sale,Upcoming,1161.5406803490628,56.66243051066581,4.878213175765637,4,2024,1,0,3.7539999999999996,4.0,Medium
PROP_00075,2023-03-29,JVC,District 12,Apartment,Meraas,3,4.0,1331,20.0,3.0,No,Ready,15,1494138.03,80089.84,17009.23,4.85,15.13,2,1,25.033172,55.209981,Zain,Active,Sale,Completed,1122.5680165289257,60.172682193839215,5.36027049656182,3,2023,0,0,4.2620000000000005,1.4,Medium
PROP_00076,2024-09-06,Downtown Dubai,Opera District,Apartment,Ellington,1,2.0,898,46.0,3.0,Yes,Ready,13,3034109.09,115378.59,18849.85,0.9,2.08,1,3,25.193409,55.263804,Zain,Rented,Rent,Completed,3378.740634743875,128.48395322939865,3.8027172582644355,9,2024,1,1,7.942,2.1999999999999997,Medium
PROP_00077,2025-02-24,Arjan,Vincitore,Apartment,Azizi,3,3.0,986,36.0,2.0,Yes,Ready,7,1117959.15,55074.79,15259.04,6.61,23.23,7,5,25.054242,55.242249,Zain,Active,Rent,Completed,1133.8328093306286,55.85678498985801,4.926368731809208,2,2025,0,0,3.372,5.800000000000001,Medium
PROP_00078,2023-05-26,Silicon Oasis,Axis Residences,Townhouse,Emaar,4,5.0,2073,0.0,1.0,No,Ready,4,2365350.94,108317.52,59119.46,7.42,19.4,7,1,25.126002,55.371155,Ali,Sold,Rent,Completed,1141.0279498311625,52.251577424023154,4.579342463237189,5,2023,0,0,2.5500000000000007,3.4000000000000004,Low
PROP_00079,2023-10-06,Dubai Marina,Marina Gate,Townhouse,Azizi,4,4.0,2518,0.0,1.0,No,Ready,5,7102521.76,271235.62,54930.9,1.26,18.06,1,1,25.055433,55.131895,Ali,Sold,Sale,Completed,2820.699666401906,107.71867355043685,3.8188636256990502,10,2023,1,1,5.764,1.0,Low
PROP_00080,2024-02-09,Dubai Hills,Mulberry,Apartment,Meraas,1,2.0,1134,63.0,2.0,No,Ready,9,2071791.47,88060.48,14653.17,4.95,13.19,1,2,25.102753,55.23125,Maryam,Rented,Sale,Completed,1826.9766049382715,77.6547442680776,4.250450939447106,2,2024,0,0,4.606,1.6,Medium
